Time: 969.7533316612244
         906194041 function calls (896892143 primitive calls) in 1000.890 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      829    0.001    0.000    0.248    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
      576    0.001    0.000    0.047    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
       75    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        4    0.000    0.000    0.000    0.000 <string>:1(__new__)
        1    0.000    0.000    0.000    0.000 ElementPath.py:255(_SelectorContext)
        1    0.000    0.000    0.001    0.001 ElementPath.py:59(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:105(ParseError)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1139(_ListDataStream)
        1    0.000    0.000    0.000    0.000 ElementTree.py:124(Element)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1249(XMLPullParser)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1361(TreeBuilder)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1437(XMLParser)
        1    0.000    0.000    0.014    0.014 ElementTree.py:34(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:495(QName)
        1    0.000    0.000    0.000    0.000 ElementTree.py:543(ElementTree)
        2    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
       34    0.001    0.000    1.488    0.044 __init__.py:1(<module>)
        1    0.000    0.000    0.044    0.044 __init__.py:10(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:10(PerformanceWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:1000(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:103(EmptyDataError)
        1    0.000    0.000    0.653    0.653 __init__.py:106(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1065(FileHandler)
        2    0.000    0.000    0.002    0.001 __init__.py:109(import_module)
        1    0.000    0.000    0.000    0.000 __init__.py:11(DeprecatedTzFormatWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:110(ParserWarning)
        3    0.000    0.000    0.000    0.000 __init__.py:111(WINFUNCTYPE)
        1    0.000    0.000    0.000    0.000 __init__.py:1134(_StderrHandler)
        1    0.000    0.000    0.039    0.039 __init__.py:114(open)
        1    0.000    0.000    0.000    0.000 __init__.py:1140(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1158(PlaceHolder)
        1    0.000    0.000    0.000    0.000 __init__.py:116(Affine)
        5    0.000    0.000    0.000    0.000 __init__.py:1164(__init__)
       16    0.000    0.000    0.000    0.000 __init__.py:1170(append)
        1    0.000    0.000    0.016    0.016 __init__.py:119(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1200(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1205(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:121(_maybe_match_name)
       25    0.000    0.000    0.001    0.000 __init__.py:1216(getLogger)
        3    0.000    0.000    0.000    0.000 __init__.py:123(WinFunctionType)
        1    0.000    0.000    0.105    0.105 __init__.py:124(<module>)
       23    0.000    0.000    0.000    0.000 __init__.py:1267(_fixupParents)
        2    0.000    0.000    0.000    0.000 __init__.py:1291(_fixupChildren)
        1    0.000    0.000    0.155    0.155 __init__.py:13(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1321(Logger)
       24    0.000    0.000    0.000    0.000 __init__.py:1336(__init__)
       86    0.000    0.000    0.000    0.000 __init__.py:1356(debug)
        1    0.000    0.000    0.000    0.000 __init__.py:136(_import_OrderedDict)
        2    0.000    0.000    0.000    0.000 __init__.py:1368(info)
       14    0.000    0.000    0.000    0.000 __init__.py:139(_check_size)
        2    0.000    0.000    0.030    0.015 __init__.py:15(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:151(MergeError)
        1    0.000    0.000    0.000    0.000 __init__.py:151(py_object)
        3    0.000    0.000    0.000    0.000 __init__.py:1526(addHandler)
        4    0.000    0.000    0.000    0.000 __init__.py:156(maybe_upcast_for_op)
        1    0.000    0.000    0.000    0.000 __init__.py:158(AccessorRegistrationWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:16(UnsupportedFunctionCall)
        1    0.000    0.000    0.000    0.000 __init__.py:160(c_short)
       10    0.000    0.000    0.000    0.000 __init__.py:1600(getEffectiveLevel)
       88    0.000    0.000    0.000    0.000 __init__.py:1614(isEnabledFor)
